Proteome Id	Organism	Organism Id	Protein count
UP000000625	Escherichia coli (strain K12)	83333	4404
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6060
UP000000589	Mus musculus (Mouse)	10090	54822
UP000000803	Drosophila melanogaster (Fruit fly)	7227	22056
UP000001570	Bacillus subtilis (strain 168)	224308	4260
UP000002494	Rattus norvegicus (Rat)	10116	47933
UP000005640	Homo sapiens (Human)	9606	82485
UP000006548	Arabidopsis thaliana (Mouse-ear cress)	3702	39281
UP000009136	Bos taurus (Bovine)	9913	37501
UP000000437	Danio rerio (Zebrafish) (Brachydanio rerio)	7955	46122
UP000001940	Caenorhabditis elegans	6239	26695
UP000002195	Dictyostelium discoideum (Social amoeba)	44689	12726
UP000059680	Oryza sativa subsp. japonica (Rice)	39947	48898
UP000000287	Woodchuck hepatitis B virus (isolate 8) (WHV)	10433	5
UP000000354	Severe acute respiratory syndrome coronavirus (SARS-CoV)	694009	15
UP000000355	Breda virus 1 (BRV-1)	360393	6
UP000000357	Avian encephalomyelitis virus (strain Calnek vaccine) (AEV)	475778	1
UP000000409	Broad bean wilt virus 1 (strain Spinach/United States/ATCC PV-132/1963) (BBWV-1)	649895	2
UP000000515	Drosophila x virus (isolate Chung/1996) (DXV)	654931	3
UP000000518	Hepatitis C virus genotype 1a (isolate H77) (HCV)	63746	2
UP000000569	Chikungunya virus (strain S27-African prototype) (CHIKV)	371094	3
UP000000670	Human parechovirus 2 (strain Williamson) (HPeV-2) (Echovirus 23)	122962	1
UP000000672	Seneca Valley virus (isolate -/United States/SSV-001/2002) (SVV)	686944	1
UP000000680	White bream virus (isolate Blicca bjoerkna L./Germany/DF24/00) (WBV)	766180	5
UP000000682	Foot-and-mouth disease virus (isolate Swine/Taiwan/OTai/1997 serotype O) (FMDV)	649897	1
UP000000834	Influenza A virus (strain A/Wilson-Smith/1933 H1N1) (Influenza A virus (strain A/WS/1933 H1N1))	381518	11
UP000001061	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1)	11927	9
UP000001440	Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV)	11151	9
UP000001628	Paracoccidioides brasiliensis (strain Pb18)	502780	8399
UP000002101	Spiroplasma virus 4 (SpV4)	2928746	9
UP000002240	Xenotropic MuLV-related virus (isolate VP62) (XMRV)	373193	3
UP000002241	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	11706	9
UP000002327	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	11285	6
UP000002328	Newcastle disease virus (strain Chicken/United States/B1/48) (NDV)	652953	8
UP000002473	Lassa virus (strain Mouse/Sierra Leone/Josiah/1976) (LASV)	11622	4
UP000002474	Lymphocytic choriomeningitis virus (strain Armstrong) (LCMV)	11624	4
UP000005206	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4) (Fusarium solani subsp. pisi)	660122	15709
UP000005726	Candidatus Regiella insecticola LSR1	663321	1646
UP000006040	Acute bee paralysis virus (strain Rothamsted) (ABPV)	1217067	3
UP000006540	Mouse mammary tumor virus (strain C3H) (MMTV)	11759	5
UP000006551	Human coronavirus HKU1 (isolate N2) (HCoV-HKU1)	443240	9
UP000006574	Bat coronavirus HKU4 (BtCoV) (BtCoV/HKU4/2004)	694007	10
UP000006576	Bat coronavirus HKU9 (BtCoV) (BtCoV/HKU9)	694006	9
UP000006624	Human parvovirus B19 (strain HV) (HPV B19)	648237	5
UP000006625	Moloney murine leukemia virus (isolate Shinnick) (MoMLV)	928306	3
UP000006675	Hepatitis delta virus genotype I (isolate D380) (HDV)	31762	2
UP000006703	Blackberry virus Y (isolate Blackberry plant/USA:Arkansas/C3ARK/2005) (BVY)	686949	1
UP000006704	Barley yellow mosaic virus (isolate China/Yancheng/1998) (BaYMV)	652104	2
UP000006705	Hepatitis E virus genotype 1 (isolate Human/China/HeBei/1987) (HEV)	652674	3
UP000006710	Sindbis virus (SINV)	11034	3
UP000006716	Human coronavirus 229E (HCoV-229E)	11137	8
UP000006723	Potato leafroll virus (strain Potato/Scotland/strain 1/1984) (PLrV)	12046	9
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii)	3055	18829
UP000007016	Soybean mosaic virus (strain N) (SMV)	12223	2
UP000007103	Parsnip yellow fleck virus (isolate P-121) (PYFV)	33762	1
UP000007180	Rotavirus A (strain RVA/SA11-Both/G3P5B[2]) (RV-A) (Simian Agent 11 (strain Both))	37137	12
UP000007192	Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus)	11142	11
UP000007209	Zaire ebolavirus (strain Mayinga-76) (ZEBOV) (Zaire Ebola virus)	128952	9
UP000007213	Infectious pancreatic necrosis virus (strain Sp) (IPNV)	11005	3
UP000007222	Simian immunodeficiency virus (isolate TAN1) (SIV-cpz) (Chimpanzee immunodeficiency virus)	388910	9
UP000007253	Reovirus type 1 (strain Lang) (T1L) (Mammalian orthoreovirus 1)	10884	11
UP000007304	Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis)	858893	9391
UP000007310	Rabies virus (strain Nishigahara RCEH) (RABV)	11298	5
UP000007405	Tomato golden mosaic virus (strain Yellow vein) (TGMV)	223341	7
UP000007418	Human immunodeficiency virus type 1 group M subtype F1 (isolate VI850) (HIV-1)	388813	9
UP000007420	Human immunodeficiency virus type 1 group N (isolate YBF30) (HIV-1)	388818	9
UP000007429	Avian infectious bursal disease virus (strain Chicken/Cuba/Soroa/1998) (IBDV) (Gumboro disease virus)	645118	3
UP000007449	Bat coronavirus 133/2005 (BtCoV) (BtCoV/133/2005)	389230	10
UP000007451	Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004)	694008	10
UP000007552	Human coronavirus OC43 (HCoV-OC43)	31631	10
UP000007616	Bovine respiratory syncytial virus (strain A51908) (BRS)	11247	11
UP000007642	Avian infectious bronchitis virus (strain M41) (IBV)	11127	10
UP000007685	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	388826	9
UP000007687	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020) (HIV-1)	388814	9
UP000007688	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)	11685	9
UP000007692	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	11686	9
UP000007693	Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1)	11689	9
UP000007705	Simian virus 40 (SV40)	1891767	6
UP000008029	Human T-cell leukemia virus 3 (strain 2026ND) (HTLV-3)	402036	6
UP000008066	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	759272	7186
UP000008158	Influenza B virus (strain B/Lee/1940)	518987	11
UP000008167	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	10515	45
UP000008176	Rubella virus (strain Cendehill) (RUBV)	376266	2
UP000008255	Triticum mosaic virus (isolate Triticum aestivum/United States/U06-123/2006) (TriMV)	1289472	1
UP000008389	Rubella virus (strain TO-336) (RUBV)	376264	2
UP000008436	Simian immunodeficiency virus (isolate EK505) (SIV-cpz) (Chimpanzee immunodeficiency virus)	388912	9
UP000008478	JC polyomavirus (JCPyV) (JCV)	10632	5
UP000008505	Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3)	341980	45
UP000008590	Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968) (CrPV)	928300	2
UP000008595	Uukuniemi virus (strain S23) (UUKV)	487099	4
